1000,,,,,,,,,
0,1,2,3,4,5,6,7,8,9
6,0,1,2,3,5,7,8,9,
16,18,,,,,,,,
4,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
29,,,,,,,,,
33,,,,,,,,,
43,,,,,,,,,
46,,,,,,,,,
51,,,,,,,,,
58,,,,,,,,,
71,,,,,,,,,
91,,,,,,,,,
95,,,,,,,,,
97,,,,,,,,,
1000,,,,,,,,,
46,41,42,43,44,45,47,48,49,
26,20,21,23,24,25,27,28,29,
63,60,61,62,64,65,66,67,68,69
89,81,83,84,85,86,87,88,,
30,32,33,34,36,37,38,39,,
75,70,71,72,73,74,76,77,78,79
54,50,51,52,53,55,56,59,,
96,90,91,92,94,95,98,,,
5,0,1,4,7,9,,,,
31,35,,,,,,,,
13,11,14,15,18,19,,,,
12,17,,,,,,,,
3,6,,,,,,,,
2,,,,,,,,,
8,,,,,,,,,
10,,,,,,,,,
16,,,,,,,,,
22,,,,,,,,,
40,,,,,,,,,
57,,,,,,,,,
58,,,,,,,,,
80,,,,,,,,,
82,,,,,,,,,
93,,,,,,,,,
97,,,,,,,,,
99,,,,,,,,,
1000,,,,,,,,,
77,70,71,72,74,75,76,78,,
15,10,11,12,13,14,16,17,18,19
64,29,60,62,63,65,66,67,68,
49,40,41,42,43,45,46,47,,
34,31,32,35,37,38,39,,,
27,20,21,25,28,,,,,
98,91,92,96,97,99,,,,
56,50,52,58,,,,,,
83,81,82,87,88,,,,,
3,7,,,,,,,,
93,94,,,,,,,,
1,2,9,,,,,,,
80,85,,,,,,,,
0,4,,,,,,,,
22,26,,,,,,,,
86,89,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
8,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
30,,,,,,,,,
33,,,,,,,,,
36,,,,,,,,,
44,,,,,,,,,
48,,,,,,,,,
51,,,,,,,,,
53,,,,,,,,,
54,,,,,,,,,
55,,,,,,,,,
57,,,,,,,,,
59,,,,,,,,,
61,,,,,,,,,
69,,,,,,,,,
73,,,,,,,,,
79,,,,,,,,,
84,,,,,,,,,
90,,,,,,,,,
95,,,,,,,,,
1000,,,,,,,,,
34,30,31,32,33,35,36,37,38,39
42,40,41,43,44,45,46,47,48,
91,94,96,97,98,99,,,,
86,80,81,82,85,87,88,,,
54,50,51,52,56,57,58,,,
7,0,5,6,9,,,,,
68,61,65,66,67,73,,,,
18,12,13,16,17,19,,,,
29,20,22,23,24,26,,,,
71,76,,,,,,,,
21,25,27,,,,,,,
55,59,,,,,,,,
2,4,,,,,,,,
93,95,,,,,,,,
74,75,79,,,,,,,
11,15,,,,,,,,
1,,,,,,,,,
3,,,,,,,,,
8,,,,,,,,,
10,,,,,,,,,
14,,,,,,,,,
28,,,,,,,,,
49,,,,,,,,,
53,,,,,,,,,
60,,,,,,,,,
62,,,,,,,,,
63,,,,,,,,,
64,,,,,,,,,
69,,,,,,,,,
70,,,,,,,,,
72,,,,,,,,,
77,,,,,,,,,
78,,,,,,,,,
83,,,,,,,,,
84,,,,,,,,,
89,,,,,,,,,
90,,,,,,,,,
92,,,,,,,,,
1000,,,,,,,,,
62,60,61,63,64,65,67,69,,
9,0,1,2,4,6,7,8,,
30,33,34,35,36,37,38,39,,
17,10,11,13,14,18,19,,,
81,84,85,89,,,,,,
70,72,73,74,77,79,,,,
43,40,42,46,48,49,,,,
92,90,91,94,95,97,,,,
23,20,21,24,25,29,,,,
82,86,88,,,,,,,
53,52,59,,,,,,,
16,12,15,,,,,,,
44,45,,,,,,,,
27,28,,,,,,,,
5,87,,,,,,,,
50,55,75,,,,,,,
3,,,,,,,,,
22,,,,,,,,,
26,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
41,,,,,,,,,
47,,,,,,,,,
51,,,,,,,,,
54,,,,,,,,,
56,,,,,,,,,
57,,,,,,,,,
58,,,,,,,,,
66,,,,,,,,,
68,,,,,,,,,
71,,,,,,,,,
76,,,,,,,,,
78,,,,,,,,,
80,,,,,,,,,
83,,,,,,,,,
93,,,,,,,,,
96,,,,,,,,,
98,,,,,,,,,
99,,,,,,,,,
1000,,,,,,,,,
43,40,41,44,45,46,47,48,49,
53,51,52,55,56,57,58,,,
36,30,31,33,37,38,39,,,
88,0,81,83,84,86,87,,,
3,1,2,5,7,8,,,,
15,14,17,,,,,,,
22,23,27,29,,,,,,
92,93,97,99,,,,,,
85,80,82,,,,,,,
76,71,72,75,,,,,,
26,20,21,,,,,,,
11,12,,,,,,,,
94,90,91,96,,,,,,
32,34,,,,,,,,
77,70,73,78,,,,,,
65,63,67,,,,,,,
61,69,,,,,,,,
95,54,98,,,,,,,
62,68,,,,,,,,
4,,,,,,,,,
6,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
13,,,,,,,,,
16,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
28,,,,,,,,,
35,,,,,,,,,
42,,,,,,,,,
50,,,,,,,,,
59,,,,,,,,,
60,,,,,,,,,
64,,,,,,,,,
66,,,,,,,,,
74,,,,,,,,,
79,,,,,,,,,
89,,,,,,,,,
