circle0,circle1,circle2,circle3,circle4,circle5,circle6,circle7,circle8,circle9,circle10,circle11,circle12,circle13,circle14,circle15,circle16,circle17,circle18,circle19,circle20,circle21,circle22,circle23,circle24,circle25,circle26,circle27,circle28,circle29,circle30,circle31,circle32,circle33,circle34,circle35,circle36,circle37,circle38,circle39,circle40,circle41,circle42,circle43,circle44,circle45
,2000,,,2621,,,2295,,,2142,1923,,,,1915,,,,,2164,2177,,,,,,2170,,,,1972,,2143,,2128,2263,,2571,,2032,2047,2312,,,
,1998,,,,,,2163,,,563,2038,,,,2332,,,,,2262,2384,,,,,,2515,,,,1943,,2128,,,2371,,2053,,2052,2176,2319,,,
,2284,,,,,,,,,2042,2525,,,,2382,,,,,2556,2509,,,,,,2401,,,,2225,,,,,2256,,1920,,2465,2455,2616,,,
,2585,,,,,,,,,2470,2416,,,,2204,,,,,2553,2221,,,,,,1992,,,,2376,,,,,2057,,2125,,2144,2049,1913,,,
,2001,,,,,,,,,1923,2133,,,,2221,,,,,2593,2377,,,,,,2399,,,,,,,,,2529,,2047,,2599,2286,,,,
,2020,,,,,,,,,1947,2610,,,,2642,,,,,2579,2652,,,,,,2650,,,,,,,,,2026,,2176,,,2186,,,,
,2192,,,,,,,,,2344,2325,,,,2120,,,,,2045,2501,,,,,,2466,,,,,,,,,2445,,2294,,,2424,,,,
,2159,,,,,,,,,2421,2211,,,,1999,,,,,2464,2003,,,,,,2076,,,,,,,,,2502,,2533,,,2181,,,,
,2024,,,,,,,,,2174,2296,,,,2501,,,,,1989,2451,,,,,,1988,,,,,,,,,2431,,2054,,,2080,,,,
,2297,,,,,,,,,1465,,,,,2437,,,,,2443,2161,,,,,,2376,,,,,,,,,2534,,2567,,,2017,,,,
,1921,,,,,,,,,2266,,,,,2523,,,,,2462,2511,,,,,,,,,,,,,,,2082,,2543,,,1915,,,,
,1995,,,,,,,,,2134,,,,,2183,,,,,2308,2333,,,,,,,,,,,,,,,2524,,2304,,,2397,,,,
,2004,,,,,,,,,2034,,,,,2224,,,,,2190,2438,,,,,,,,,,,,,,,2531,,2332,,,2031,,,,
,2378,,,,,,,,,428,,,,,2587,,,,,2477,2002,,,,,,,,,,,,,,,2227,,2194,,,1933,,,,
,2006,,,,,,,,,2111,,,,,2598,,,,,2586,2222,,,,,,,,,,,,,,,2614,,2592,,,2382,,,,
,2346,,,,,,,,,2096,,,,,2142,,,,,1993,563,,,,,,,,,,,,,,,2454,,2250,,,2178,,,,
,2116,,,,,,,,,2468,,,,,1996,,,,,2121,2415,,,,,,,,,,,,,,,2349,,1718,,,2204,,,,
,2648,,,,,,,,,,,,,,2542,,,,,2506,1981,,,,,,,,,,,,,,,2400,,2384,,,1937,,,,
,2647,,,,,,,,,,,,,,2581,,,,,2613,2280,,,,,,,,,,,,,,,2113,,2642,,,2642,,,,
,2459,,,,,,,,,,,,,,2042,,,,,2507,1947,,,,,,,,,,,,,,,2513,,2594,,,2238,,,,
,2337,,,,,,,,,,,,,,1922,,,,,2021,1939,,,,,,,,,,,,,,,2358,,2187,,,2371,,,,
,2022,,,,,,,,,,,,,,2470,,,,,2543,2252,,,,,,,,,,,,,,,2632,,2377,,,2120,,,,
,2658,,,,,,,,,,,,,,2232,,,,,1962,2344,,,,,,,,,,,,,,,2441,,2148,,,2160,,,,
,2660,,,,,,,,,,,,,,2023,,,,,2073,2396,,,,,,,,,,,,,,,2129,,2241,,,2029,,,,
,2659,,,,,,,,,,,,,,2316,,,,,2408,2132,,,,,,,,,,,,,,,2389,,2445,,,2373,,,,
,2018,,,,,,,,,,,,,,2649,,,,,2391,2235,,,,,,,,,,,,,,,2010,,2183,,,2541,,,,
,2268,,,,,,,,,,,,,,2156,,,,,2104,2432,,,,,,,,,,,,,,,2345,,2451,,,2314,,,,
,2633,,,,,,,,,,,,,,2421,,,,,2611,2062,,,,,,,,,,,,,,,2497,,2224,,,2437,,,,
,1976,,,,,,,,,,,,,,2565,,,,,2123,2328,,,,,,,,,,,,,,,2450,,2068,,,2403,,,,
,2341,,,,,,,,,,,,,,2062,,,,,2575,2568,,,,,,,,,,,,,,,2100,,2511,,,2523,,,,
,1968,,,,,,,,,,,,,,2328,,,,,2311,2434,,,,,,,,,,,,,,,2065,,2419,,,2008,,,,
,1927,,,,,,,,,,,,,,2577,,,,,2374,2081,,,,,,,,,,,,,,,2291,,2372,,,2534,,,,
,1954,,,,,,,,,,,,,,2168,,,,,2276,2301,,,,,,,,,,,,,,,2355,,2333,,,2082,,,,
,2447,,,,,,,,,,,,,,2114,,,,,2573,2327,,,,,,,,,,,,,,,2251,,2259,,,2342,,,,
,1928,,,,,,,,,,,,,,2231,,,,,2334,2399,,,,,,,,,,,,,,,2252,,2598,,,2227,,,,
,2157,,,,,,,,,,,,,,1465,,,,,2179,428,,,,,,,,,,,,,,,2298,,2209,,,2310,,,,
,2472,,,,,,,,,,,,,,2266,,,,,2356,1970,,,,,,,,,,,,,,,2036,,1945,,,2587,,,,
,1991,,,,,,,,,,,,,,2041,,,,,2484,1967,,,,,,,,,,,,,,,2270,,2438,,,2614,,,,
,1950,,,,,,,,,,,,,,2096,,,,,2428,2111,,,,,,,,,,,,,,,1987,,2516,,,2419,,,,
,2627,,,,,,,,,,,,,,2243,,,,,2046,58,,,,,,,,,,,,,,,2312,,2597,,,2175,,,,
,2626,,,,,,,,,,,,,,,,,,,2521,2274,,,,,,,,,,,,,,,1977,,2475,,,2162,,,,
,1914,,,,,,,,,,,,,,,,,,,2020,2603,,,,,,,,,,,,,,,2249,,2042,,,2277,,,,
,2016,,,,,,,,,,,,,,,,,,,2084,2101,,,,,,,,,,,,,,,2448,,2608,,,2209,,,,
,2012,,,,,,,,,,,,,,,,,,,2638,1959,,,,,,,,,,,,,,,2295,,2010,,,2321,,,,
,136,,,,,,,,,,,,,,,,,,,2005,2199,,,,,,,,,,,,,,,2628,,2087,,,2228,,,,
,2364,,,,,,,,,,,,,,,,,,,2093,2096,,,,,,,,,,,,,,,2230,,2247,,,2013,,,,
,2636,,,,,,,,,,,,,,,,,,,2092,2617,,,,,,,,,,,,,,,2051,,2519,,,2569,,,,
,2494,,,,,,,,,,,,,,,,,,,2060,2390,,,,,,,,,,,,,,,2544,,2246,,,2105,,,,
,2015,,,,,,,,,,,,,,,,,,,2395,2243,,,,,,,,,,,,,,,2568,,2471,,,1936,,,,
,2097,,,,,,,,,,,,,,,,,,,2078,2537,,,,,,,,,,,,,,,2169,,2582,,,2158,,,,
,2620,,,,,,,,,,,,,,,,,,,2572,,,,,,,,,,,,,,,,2514,,2436,,,2357,,,,
,2583,,,,,,,,,,,,,,,,,,,2306,,,,,,,,,,,,,,,,2288,,2191,,,2322,,,,
,1951,,,,,,,,,,,,,,,,,,,2549,,,,,,,,,,,,,,,,2214,,2223,,,1990,,,,
,2538,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,,,,,,,,2130,,2273,,,1996,,,,
,1935,,,,,,,,,,,,,,,,,,,2063,,,,,,,,,,,,,,,,2530,,1577,,,1964,,,,
,2143,,,,,,,,,,,,,,,,,,,2350,,,,,,,,,,,,,,,,2449,,2153,,,2557,,,,
,2025,,,,,,,,,,,,,,,,,,,2055,,,,,,,,,,,,,,,,2067,,2589,,,2632,,,,
,2027,,,,,,,,,,,,,,,,,,,2418,,,,,,,,,,,,,,,,2265,,2555,,,2581,,,,
,2171,,,,,,,,,,,,,,,,,,,2607,,,,,,,,,,,,,,,,1952,,2292,,,1922,,,,
,1919,,,,,,,,,,,,,,,,,,,2069,,,,,,,,,,,,,,,,2137,,2635,,,2562,,,,
,,,,,,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,2488,,1955,,,2129,,,,
,,,,,,,,,,,,,,,,,,,,1938,,,,,,,,,,,,,,,,2528,,2280,,,2412,,,,
,,,,,,,,,,,,,,,,,,,,2261,,,,,,,,,,,,,,,,2215,,1923,,,2566,,,,
,,,,,,,,,,,,,,,,,,,,2393,,,,,,,,,,,,,,,,1913,,2028,,,2570,,,,
,,,,,,,,,,,,,,,,,,,,2240,,,,,,,,,,,,,,,,2128,,1947,,,1930,,,,
,,,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,,,,,,,,,2268,,,2360,,,,
,,,,,,,,,,,,,,,,,,,,2559,,,,,,,,,,,,,,,,,,2038,,,2152,,,,
,,,,,,,,,,,,,,,,,,,,2352,,,,,,,,,,,,,,,,,,2151,,,2379,,,,
,,,,,,,,,,,,,,,,,,,,2339,,,,,,,,,,,,,,,,,,2649,,,2345,,,,
,,,,,,,,,,,,,,,,,,,,2140,,,,,,,,,,,,,,,,,,2135,,,2656,,,,
,,,,,,,,,,,,,,,,,,,,2387,,,,,,,,,,,,,,,,,,2196,,,2318,,,,
,,,,,,,,,,,,,,,,,,,,2532,,,,,,,,,,,,,,,,,,2279,,,2089,,,,
,,,,,,,,,,,,,,,,,,,,2154,,,,,,,,,,,,,,,,,,2347,,,2366,,,,
,,,,,,,,,,,,,,,,,,,,2112,,,,,,,,,,,,,,,,,,2203,,,2155,,,,
,,,,,,,,,,,,,,,,,,,,2040,,,,,,,,,,,,,,,,,,2289,,,2497,,,,
,,,,,,,,,,,,,,,,,,,,2142,,,,,,,,,,,,,,,,,,2416,,,2362,,,,
,,,,,,,,,,,,,,,,,,,,2212,,,,,,,,,,,,,,,,,,2643,,,2659,,,,
,,,,,,,,,,,,,,,,,,,,2275,,,,,,,,,,,,,,,,,,1954,,,2193,,,,
,,,,,,,,,,,,,,,,,,,,1942,,,,,,,,,,,,,,,,,,2319,,,2141,,,,
,,,,,,,,,,,,,,,,,,,,2591,,,,,,,,,,,,,,,,,,2351,,,2242,,,,
,,,,,,,,,,,,,,,,,,,,2139,,,,,,,,,,,,,,,,,,2102,,,1923,,,,
,,,,,,,,,,,,,,,,,,,,2118,,,,,,,,,,,,,,,,,,2254,,,1934,,,,
,,,,,,,,,,,,,,,,,,,,2172,,,,,,,,,,,,,,,,,,2420,,,2232,,,,
,,,,,,,,,,,,,,,,,,,,2536,,,,,,,,,,,,,,,,,,2473,,,2038,,,,
,,,,,,,,,,,,,,,,,,,,2542,,,,,,,,,,,,,,,,,,2472,,,2023,,,,
,,,,,,,,,,,,,,,,,,,,2469,,,,,,,,,,,,,,,,,,2328,,,2316,,,,
,,,,,,,,,,,,,,,,,,,,2324,,,,,,,,,,,,,,,,,,1932,,,2251,,,,
,,,,,,,,,,,,,,,,,,,,2363,,,,,,,,,,,,,,,,,,2302,,,2236,,,,
,,,,,,,,,,,,,,,,,,,,2237,,,,,,,,,,,,,,,,,,2189,,,2525,,,,
,,,,,,,,,,,,,,,,,,,,1963,,,,,,,,,,,,,,,,,,2498,,,2035,,,,
,,,,,,,,,,,,,,,,,,,,2615,,,,,,,,,,,,,,,,,,2117,,,2637,,,,
,,,,,,,,,,,,,,,,,,,,2551,,,,,,,,,,,,,,,,,,2169,,,2272,,,,
,,,,,,,,,,,,,,,,,,,,1979,,,,,,,,,,,,,,,,,,2007,,,2085,,,,
,,,,,,,,,,,,,,,,,,,,2407,,,,,,,,,,,,,,,,,,2174,,,2341,,,,
,,,,,,,,,,,,,,,,,,,,1917,,,,,,,,,,,,,,,,,,2491,,,1965,,,,
,,,,,,,,,,,,,,,,,,,,1946,,,,,,,,,,,,,,,,,,2463,,,1944,,,,
,,,,,,,,,,,,,,,,,,,,2624,,,,,,,,,,,,,,,,,,2461,,,2156,,,,
,,,,,,,,,,,,,,,,,,,,2655,,,,,,,,,,,,,,,,,,2081,,,2289,,,,
,,,,,,,,,,,,,,,,,,,,2489,,,,,,,,,,,,,,,,,,2163,,,2416,,,,
,,,,,,,,,,,,,,,,,,,,2499,,,,,,,,,,,,,,,,,,1994,,,2036,,,,
,,,,,,,,,,,,,,,,,,,,2257,,,,,,,,,,,,,,,,,,2071,,,2335,,,,
,,,,,,,,,,,,,,,,,,,,2512,,,,,,,,,,,,,,,,,,1465,,,2618,,,,
,,,,,,,,,,,,,,,,,,,,2561,,,,,,,,,,,,,,,,,,2032,,,2317,,,,
,,,,,,,,,,,,,,,,,,,,1953,,,,,,,,,,,,,,,,,,136,,,2361,,,,
,,,,,,,,,,,,,,,,,,,,2210,,,,,,,,,,,,,,,,,,2052,,,2106,,,,
,,,,,,,,,,,,,,,,,,,,2386,,,,,,,,,,,,,,,,,,2338,,,2421,,,,
,,,,,,,,,,,,,,,,,,,,2218,,,,,,,,,,,,,,,,,,2134,,,2388,,,,
,,,,,,,,,,,,,,,,,,,,2233,,,,,,,,,,,,,,,,,,2399,,,2503,,,,
,,,,,,,,,,,,,,,,,,,,2625,,,,,,,,,,,,,,,,,,2343,,,2126,,,,
,,,,,,,,,,,,,,,,,,,,2122,,,,,,,,,,,,,,,,,,2111,,,1960,,,,
,,,,,,,,,,,,,,,,,,,,2495,,,,,,,,,,,,,,,,,,2274,,,2565,,,,
,,,,,,,,,,,,,,,,,,,,2546,,,,,,,,,,,,,,,,,,2315,,,2448,,,,
,,,,,,,,,,,,,,,,,,,,2381,,,,,,,,,,,,,,,,,,1941,,,2313,,,,
,,,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,,,,,,,,,2127,,,2406,,,,
,,,,,,,,,,,,,,,,,,,,2131,,,,,,,,,,,,,,,,,,2199,,,2580,,,,
,,,,,,,,,,,,,,,,,,,,2077,,,,,,,,,,,,,,,,,,2133,,,2628,,,,
,,,,,,,,,,,,,,,,,,,,2229,,,,,,,,,,,,,,,,,,1948,,,2473,,,,
,,,,,,,,,,,,,,,,,,,,1943,,,,,,,,,,,,,,,,,,2616,,,2612,,,,
,,,,,,,,,,,,,,,,,,,,2442,,,,,,,,,,,,,,,,,,2610,,,2474,,,,
,,,,,,,,,,,,,,,,,,,,2056,,,,,,,,,,,,,,,,,,2143,,,2182,,,,
,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,,,,,,,,,,2149,,,2577,,,,
,,,,,,,,,,,,,,,,,,,,2560,,,,,,,,,,,,,,,,,,2039,,,2168,,,,
,,,,,,,,,,,,,,,,,,,,1969,,,,,,,,,,,,,,,,,,2496,,,2051,,,,
,,,,,,,,,,,,,,,,,,,,2290,,,,,,,,,,,,,,,,,,,,,2498,,,,
,,,,,,,,,,,,,,,,,,,,2485,,,,,,,,,,,,,,,,,,,,,2197,,,,
,,,,,,,,,,,,,,,,,,,,2165,,,,,,,,,,,,,,,,,,,,,2117,,,,
,,,,,,,,,,,,,,,,,,,,2088,,,,,,,,,,,,,,,,,,,,,2174,,,,
,,,,,,,,,,,,,,,,,,,,2392,,,,,,,,,,,,,,,,,,,,,2114,,,,
,,,,,,,,,,,,,,,,,,,,2410,,,,,,,,,,,,,,,,,,,,,2231,,,,
,,,,,,,,,,,,,,,,,,,,2348,,,,,,,,,,,,,,,,,,,,,2130,,,,
,,,,,,,,,,,,,,,,,,,,2584,,,,,,,,,,,,,,,,,,,,,2034,,,,
,,,,,,,,,,,,,,,,,,,,2043,,,,,,,,,,,,,,,,,,,,,2041,,,,
,,,,,,,,,,,,,,,,,,,,2347,,,,,,,,,,,,,,,,,,,,,2260,,,,
,,,,,,,,,,,,,,,,,,,,2563,,,,,,,,,,,,,,,,,,,,,1926,,,,
,,,,,,,,,,,,,,,,,,,,2271,,,,,,,,,,,,,,,,,,,,,2070,,,,
,,,,,,,,,,,,,,,,,,,,1984,,,,,,,,,,,,,,,,,,,,,2480,,,,
,,,,,,,,,,,,,,,,,,,,2526,,,,,,,,,,,,,,,,,,,,,2145,,,,
,,,,,,,,,,,,,,,,,,,,2216,,,,,,,,,,,,,,,,,,,,,2603,,,,
,,,,,,,,,,,,,,,,,,,,2258,,,,,,,,,,,,,,,,,,,,,2173,,,,
,,,,,,,,,,,,,,,,,,,,2064,,,,,,,,,,,,,,,,,,,,,2091,,,,
,,,,,,,,,,,,,,,,,,,,2492,,,,,,,,,,,,,,,,,,,,,2133,,,,
,,,,,,,,,,,,,,,,,,,,2244,,,,,,,,,,,,,,,,,,,,,2610,,,,
,,,,,,,,,,,,,,,,,,,,2300,,,,,,,,,,,,,,,,,,,,,2325,,,,
,,,,,,,,,,,,,,,,,,,,2353,,,,,,,,,,,,,,,,,,,,,2146,,,,
,,,,,,,,,,,,,,,,,,,,2504,,,,,,,,,,,,,,,,,,,,,2248,,,,
,,,,,,,,,,,,,,,,,,,,2630,,,,,,,,,,,,,,,,,,,,,2405,,,,
,,,,,,,,,,,,,,,,,,,,2090,,,,,,,,,,,,,,,,,,,,,2331,,,,
,,,,,,,,,,,,,,,,,,,,2590,,,,,,,,,,,,,,,,,,,,,2211,,,,
,,,,,,,,,,,,,,,,,,,,2430,,,,,,,,,,,,,,,,,,,,,1975,,,,
,,,,,,,,,,,,,,,,,,,,2278,,,,,,,,,,,,,,,,,,,,,2296,,,,
,,,,,,,,,,,,,,,,,,,,2446,,,,,,,,,,,,,,,,,,,,,1978,,,,
,,,,,,,,,,,,,,,,,,,,2103,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2478,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2520,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2329,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2136,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2600,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2189,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1929,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2423,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2578,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2234,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2288,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2115,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2253,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2604,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2449,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2147,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2606,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2414,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1983,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2299,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2266,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2293,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2033,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2074,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2098,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2602,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2220,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1966,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2067,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2654,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2460,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2124,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2109,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1941,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2201,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2267,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2576,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2619,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2564,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2409,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2482,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2623,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2309,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2206,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2539,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2631,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2370,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2359,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2059,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2404,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2326,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2574,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2037,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2601,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2646,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2095,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2188,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2433,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2307,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2083,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2323,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2354,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2376,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2340,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2150,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2468,,,,,,,,,,,,,,,,,,,,,,,,,
