circle0,circle1,circle2,circle3,circle4,circle5,circle6,circle7,circle8
,,,,,,1460,,
,,,,,,1123,,
,,,,,,1416,,
,,,,,,1467,,
,,,,,,1644,,
,,,,,,1843,,
,,,,,,1079,,
,,,,,,1006,,
,,,,,,1074,,
,,,,,,1513,,
,,,,,,1792,,
,,,,,,1449,,
,,,,,,1450,,
,,,,,,1085,,
,,,,,,1458,,
,,,,,,1305,,
,,,,,,966,,
,,,,,,1128,,
,,,,,,1774,,
,,,,,,1867,,
,,,,,,1757,,
,,,,,,1380,,
,,,,,,414,,
,,,,,,1888,,
,,,,,,1730,,
,,,,,,1420,,
,,,,,,1758,,
,,,,,,1145,,
,,,,,,1086,,
,,,,,,1485,,
,,,,,,1149,,
,,,,,,1737,,
,,,,,,1800,,
,,,,,,1675,,
,,,,,,1003,,
,,,,,,1714,,
,,,,,,1056,,
,,,,,,916,,
,,,,,,996,,
,,,,,,1075,,
,,,,,,1769,,
,,,,,,1589,,
,,,,,,1796,,
,,,,,,1238,,
,,,,,,1431,,
,,,,,,1124,,
,,,,,,1471,,
,,,,,,1330,,
,,,,,,1702,,
,,,,,,1668,,
,,,,,,1721,,
,,,,,,906,,
,,,,,,1544,,
,,,,,,1610,,
,,,,,,1390,,
,,,,,,1084,,
,,,,,,1243,,
,,,,,,1865,,
,,,,,,1863,,
,,,,,,1765,,
,,,,,,1521,,
,,,,,,1201,,
,,,,,,926,,
,,,,,,1534,,
,,,,,,1701,,
,,,,,,1698,,
,,,,,,1532,,
,,,,,,1402,,
,,,,,,1663,,
,,,,,,1360,,
,,,,,,1809,,
,,,,,,1301,,
,,,,,,1528,,
,,,,,,1211,,
,,,,,,1209,,
,,,,,,1900,,
,,,,,,1365,,
,,,,,,1835,,
,,,,,,1291,,
,,,,,,1652,,
,,,,,,1689,,
,,,,,,1813,,
,,,,,,1838,,
,,,,,,1505,,
,,,,,,1089,,
,,,,,,1165,,
,,,,,,1524,,
,,,,,,1445,,
,,,,,,1283,,
,,,,,,1659,,
,,,,,,1312,,
,,,,,,1214,,
,,,,,,1623,,
,,,,,,1622,,
,,,,,,1327,,
,,,,,,1267,,
,,,,,,1269,,
,,,,,,923,,
,,,,,,1580,,
,,,,,,1816,,
,,,,,,1779,,
,,,,,,1251,,
,,,,,,1197,,
,,,,,,1861,,
,,,,,,1558,,
,,,,,,1193,,
,,,,,,1017,,
,,,,,,1375,,
,,,,,,1068,,
,,,,,,1643,,
,,,,,,1055,,
,,,,,,1069,,
,,,,,,1516,,
,,,,,,1877,,
,,,,,,1639,,
,,,,,,1811,,
,,,,,,1491,,
,,,,,,1520,,
,,,,,,1328,,
,,,,,,1551,,
,,,,,,1031,,
,,,,,,1717,,
,,,,,,1028,,
,,,,,,1833,,
,,,,,,1688,,
,,,,,,1421,,
,,,,,,1059,,
,,,,,,1563,,
,,,,,,1626,,
,,,,,,1564,,
,,,,,,1537,,
,,,,,,1723,,
,,,,,,1265,,
,,,,,,908,,
,,,,,,1110,,
,,,,,,1339,,
,,,,,,1384,,
,,,,,,1334,,
,,,,,,1621,,
,,,,,,1077,,
