circle0,circle1,circle2,circle3,circle4,circle5,circle6,circle7,circle8,circle9,circle10,circle11,circle12,circle13,circle14,circle15,circle16,circle17,circle18,circle19,circle20,circle21,circle22,circle23
,,,,,,,,,,,,,,,77,,,,,,,,
,,,,,,,,,,,,,,,196,,,,,,,,
,,,,,,,,,,,,,,,64,,,,,,,,
,,,,,,,,,,,,,,,286,,,,,,,,
,,,,,,,,,,,,,,,89,,,,,,,,
,,,,,,,,,,,,,,,22,,,,,,,,
,,,,,,,,,,,,,,,39,,,,,,,,
,,,,,,,,,,,,,,,190,,,,,,,,
,,,,,,,,,,,,,,,281,,,,,,,,
,,,,,,,,,,,,,,,117,,,,,,,,
,,,,,,,,,,,,,,,38,,,,,,,,
,,,,,,,,,,,,,,,213,,,,,,,,
,,,,,,,,,,,,,,,135,,,,,,,,
,,,,,,,,,,,,,,,197,,,,,,,,
,,,,,,,,,,,,,,,291,,,,,,,,
,,,,,,,,,,,,,,,21,,,,,,,,
,,,,,,,,,,,,,,,315,,,,,,,,
,,,,,,,,,,,,,,,261,,,,,,,,
,,,,,,,,,,,,,,,47,,,,,,,,
,,,,,,,,,,,,,,,36,,,,,,,,
,,,,,,,,,,,,,,,186,,,,,,,,
,,,,,,,,,,,,,,,169,,,,,,,,
,,,,,,,,,,,,,,,342,,,,,,,,
,,,,,,,,,,,,,,,49,,,,,,,,
,,,,,,,,,,,,,,,9,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,185,,,,,,,,
,,,,,,,,,,,,,,,219,,,,,,,,
,,,,,,,,,,,,,,,123,,,,,,,,
,,,,,,,,,,,,,,,72,,,,,,,,
,,,,,,,,,,,,,,,309,,,,,,,,
,,,,,,,,,,,,,,,103,,,,,,,,
,,,,,,,,,,,,,,,157,,,,,,,,
,,,,,,,,,,,,,,,277,,,,,,,,
,,,,,,,,,,,,,,,105,,,,,,,,
,,,,,,,,,,,,,,,139,,,,,,,,
,,,,,,,,,,,,,,,148,,,,,,,,
,,,,,,,,,,,,,,,248,,,,,,,,
,,,,,,,,,,,,,,,341,,,,,,,,
,,,,,,,,,,,,,,,62,,,,,,,,
,,,,,,,,,,,,,,,98,,,,,,,,
,,,,,,,,,,,,,,,63,,,,,,,,
,,,,,,,,,,,,,,,297,,,,,,,,
,,,,,,,,,,,,,,,242,,,,,,,,
,,,,,,,,,,,,,,,10,,,,,,,,
,,,,,,,,,,,,,,,152,,,,,,,,
,,,,,,,,,,,,,,,236,,,,,,,,
,,,,,,,,,,,,,,,308,,,,,,,,
,,,,,,,,,,,,,,,82,,,,,,,,
,,,,,,,,,,,,,,,87,,,,,,,,
,,,,,,,,,,,,,,,136,,,,,,,,
,,,,,,,,,,,,,,,200,,,,,,,,
,,,,,,,,,,,,,,,183,,,,,,,,
,,,,,,,,,,,,,,,247,,,,,,,,
,,,,,,,,,,,,,,,290,,,,,,,,
,,,,,,,,,,,,,,,303,,,,,,,,
,,,,,,,,,,,,,,,319,,,,,,,,
,,,,,,,,,,,,,,,6,,,,,,,,
,,,,,,,,,,,,,,,314,,,,,,,,
,,,,,,,,,,,,,,,104,,,,,,,,
,,,,,,,,,,,,,,,127,,,,,,,,
,,,,,,,,,,,,,,,25,,,,,,,,
,,,,,,,,,,,,,,,69,,,,,,,,
,,,,,,,,,,,,,,,171,,,,,,,,
,,,,,,,,,,,,,,,119,,,,,,,,
,,,,,,,,,,,,,,,79,,,,,,,,
,,,,,,,,,,,,,,,340,,,,,,,,
,,,,,,,,,,,,,,,301,,,,,,,,
,,,,,,,,,,,,,,,188,,,,,,,,
,,,,,,,,,,,,,,,142,,,,,,,,
