circle0,circle1,circle2,circle3,circle4,circle5,circle6,circle7,circle8,circle9,circle10,circle11,circle12,circle13
,511,,,,,,,,,,,,
,521,,,,,,,,,,,,
,456,,,,,,,,,,,,
,510,,,,,,,,,,,,
,360,,,,,,,,,,,,
,539,,,,,,,,,,,,
,465,,,,,,,,,,,,
,394,,,,,,,,,,,,
,555,,,,,,,,,,,,
,349,,,,,,,,,,,,
,389,,,,,,,,,,,,
,428,,,,,,,,,,,,
,369,,,,,,,,,,,,
,525,,,,,,,,,,,,
,435,,,,,,,,,,,,
,440,,,,,,,,,,,,
,455,,,,,,,,,,,,
,548,,,,,,,,,,,,
,460,,,,,,,,,,,,
,505,,,,,,,,,,,,
,531,,,,,,,,,,,,
,563,,,,,,,,,,,,
,488,,,,,,,,,,,,
,459,,,,,,,,,,,,
,486,,,,,,,,,,,,
,492,,,,,,,,,,,,
,538,,,,,,,,,,,,
,543,,,,,,,,,,,,
,530,,,,,,,,,,,,
,453,,,,,,,,,,,,
,557,,,,,,,,,,,,
,359,,,,,,,,,,,,
,472,,,,,,,,,,,,
,523,,,,,,,,,,,,
,403,,,,,,,,,,,,
,490,,,,,,,,,,,,
,524,,,,,,,,,,,,
,406,,,,,,,,,,,,
,527,,,,,,,,,,,,
,410,,,,,,,,,,,,
,416,,,,,,,,,,,,
,507,,,,,,,,,,,,
,467,,,,,,,,,,,,
,474,,,,,,,,,,,,
,413,,,,,,,,,,,,
,423,,,,,,,,,,,,
,407,,,,,,,,,,,,
,374,,,,,,,,,,,,
,404,,,,,,,,,,,,
,545,,,,,,,,,,,,
,387,,,,,,,,,,,,
,368,,,,,,,,,,,,
,496,,,,,,,,,,,,
,379,,,,,,,,,,,,
,572,,,,,,,,,,,,
,515,,,,,,,,,,,,
,480,,,,,,,,,,,,
,541,,,,,,,,,,,,
,377,,,,,,,,,,,,
,376,,,,,,,,,,,,
,385,,,,,,,,,,,,
,448,,,,,,,,,,,,
,457,,,,,,,,,,,,
,357,,,,,,,,,,,,
,503,,,,,,,,,,,,
,483,,,,,,,,,,,,
,434,,,,,,,,,,,,
,429,,,,,,,,,,,,
,546,,,,,,,,,,,,
,430,,,,,,,,,,,,
,370,,,,,,,,,,,,
,479,,,,,,,,,,,,
,471,,,,,,,,,,,,
,561,,,,,,,,,,,,
,418,,,,,,,,,,,,
,350,,,,,,,,,,,,
,382,,,,,,,,,,,,
,422,,,,,,,,,,,,
,383,,,,,,,,,,,,
,562,,,,,,,,,,,,
,425,,,,,,,,,,,,
,556,,,,,,,,,,,,
,444,,,,,,,,,,,,
